advertiserId;programmeName;primarySector;subSectors;conversionRate;approvalRate;epc;launchDate;paymentStatus;paymentRiskLevel;awinIndex;feedEnabled;productReporting;commissionMin;commissionMax;leadMin;leadMax;cookieLength;parentSectors;;;averagePaymentTime
15703;Lesershop24 DE;Books & Subscriptions;Books & Subscriptions|Lead Gen|Lead Gen;0.730815;75.80;0.18;2019-07-19;amber;exposurelevel2;34.8587;yes;no;64;64;8;16;60;Retail & Shopping|Telco's & Services;;;123
24508;United Kiosk DE;Books & Subscriptions;Books & Subscriptions|Gifts & Flowers;2.44594;68.97;0.22;2021-09-24;green;none;33.5028;yes;no;0;0;0;0;30;Retail & Shopping;;;87
21181;Vivat DE;Books & Subscriptions;Books & Subscriptions|Clothing Accessories|FMCG|Furniture & Soft Furnishings|Gifts & Flowers|Green (Eco friendly)|Health & Beauty|Jewellery|Music & DVD|Toys & Games|Wine Spirits & Tobacco;2.99175;79.44;0.05;2021-01-25;green;none;50.076;yes;no;0;0;0;0;30;Retail & Shopping;;;73
22466;Weltbild DE;Books & Subscriptions;Books & Subscriptions|Childrenswear|Clothing|Clothing Accessories|Computers|Department Stores|DIY|Entertainment Superstore|FMCG|Furniture & Soft Furnishings|Gifts & Flowers|Green (Eco friendly)|Health & Beauty|Home & Garden|Jewellery|Menswear|Music & DVD|Office Supplies|PC & Video Games|Photos & Print Services|Sports Equipment|Sportswear|Toys & Games|Baby & Toddler;5.39138;99.18;0.15;2021-05-18;amber;exposurelevel6;61.3704;yes;no;0;0;0;0;30;Retail & Shopping;;;115
11758;SPORT BILD DE;Books & Subscriptions;Books & Subscriptions;7.00637;89.23;1.40;2018-05-15;amber;exposurelevel2;47.3003;yes;no;0;0;0;36;30;Retail & Shopping;;;null
23269;Thienemann-Esslinger Verlag DE;Books & Subscriptions;Books & Subscriptions|Gifts & Flowers|Toys & Games|Baby & Toddler;0.38877;95.65;0.01;2021-07-26;green;none;53.4337;yes;no;0;0;0;0;30;Retail & Shopping;;;235
14191;buecher DE;Books & Subscriptions;Audio Visual|Books & Subscriptions|Electronic Accessories|Furniture & Soft Furnishings|Health & Beauty|Music & DVD|PC & Video Games|Photography|Toys & Games;8.31221;88.98;0.21;2019-08-20;green;none;68.3737;yes;no;8;12;0;0;30;Retail & Shopping;;;91
16829;The Book Depository (EU);Books & Subscriptions;Books & Subscriptions;8.7631;71.00;0.13;2019-03-11;green;none;62.7276;yes;no;5;5;0;0;30;Retail & Shopping;;;60
30799;Osiander DE;Books & Subscriptions;Books & Subscriptions;1.41447;84.94;0.11;2022-09-05;amber;exposurelevel2;77.6469;yes;no;0;0;0;0;30;Retail & Shopping;;;null
14225;BILDplus;Books & Subscriptions;Books & Subscriptions;2.69966;85.63;0.17;2019-09-25;amber;exposurelevel2;60.5826;yes;no;0;0;0;45;30;Retail & Shopping;;;87
28577;TASCHEN DE;Books & Subscriptions;Books & Subscriptions|Gifts & Flowers|Home & Garden|Photography;;0.00;0.00;2022-12-05;green;none;;yes;no;0;0;0;0;30;Retail & Shopping;;;null
11459;WELTplus DE;Books & Subscriptions;Books & Subscriptions;1.25177;83.53;0.24;2017-12-05;amber;exposurelevel4;59.5295;yes;no;0;0;0;60;30;Retail & Shopping;;;91
13559;PersonalNOVEL DE;Books & Subscriptions;Books & Subscriptions;3.07667;96.60;0.13;2018-08-22;amber;exposurelevel6;46.5588;yes;no;10;10;0;0;60;Retail & Shopping;;;257
18337;Lehrerwelt DE;Books & Subscriptions;Books & Subscriptions|Clothing Accessories|Office Supplies|Toys & Games|Education Training & Recruitment|Mobile Downloads;1.67212;96.95;0.21;2019-10-21;green;none;73.3225;yes;no;15;15;0;0;30;Retail & Shopping|Telco's & Services;;;50
16597;Studenten-Presse DE;Books & Subscriptions;Books & Subscriptions;6.66667;38.10;0.43;2019-03-05;green;none;23.8529;yes;no;0;0;6.5;6.5;30;Retail & Shopping;;;92
16927;topp-kreativ DE;Books & Subscriptions;Books & Subscriptions;3.12723;98.99;0.14;2019-06-05;green;none;60.3542;yes;no;10;15;0;0;60;Retail & Shopping;;;148
26427;Nature DE;Books & Subscriptions;Books & Subscriptions;5.46729;100.00;2.60;2022-06-01;green;none;88.0609;yes;no;0;0;0;0;30;Retail & Shopping;;;32
28297;Frölich und Kaufmann DE;Books & Subscriptions;Books & Subscriptions|Entertainment Superstore|Gifts & Flowers|Home & Garden|Photography|Tourism & Attractions;1.4929;64.46;0.03;2022-08-24;green;none;35.1712;yes;no;0;0;0;0;30;Retail & Shopping|Travel;;;null
15158;y-o-w.com DE;Business Services (B2B);DIY|Office Supplies|Photos & Print Services|Business Services (B2B);2.94907;88.37;0.72;2019-07-02;green;none;69.4551;yes;no;5;5;0;0;30;Retail & Shopping|Telco's & Services;;;43
14761;Sixt DE;Car Rental;Car Rental;2.06271;58.93;0.30;2019-08-05;green;none;46.6119;yes;no;5;5;0;10;30;Travel;;;163
14051;MietwagenCheck DE;Car Rental;Airport Parking & Transfers|Car Rental|Hotels & Accommodation|Local Holidays|Tourism & Attractions|Travel Agencies;0.981582;45.85;0.09;2019-08-21;amber;exposurelevel2;21.6254;yes;no;6;6;0;0;60;Travel;;;210
15538;Vingino DE - FamilyBlend;Childrenswear;Childrenswear|Clothing|Shoes|Baby & Toddler;4.18082;100.00;0.24;2018-09-13;amber;exposurelevel2;68.5378;yes;no;7;7;0;0;30;Retail & Shopping;;;124
11449;SOUTHBAG DE;Childrenswear;Childrenswear|Office Supplies|Toys & Games;1.87521;68.40;0.15;2018-04-19;green;none;50.0024;yes;no;0;10;0;0;30;Retail & Shopping;;;66
13931;Littlehipstar DE;Childrenswear;Childrenswear;6.89695;51.28;0.69;2019-06-05;green;none;57.3758;yes;no;10;10;0;0;30;Retail & Shopping;;;49
